hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hiredis 1.2.0-2
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.376-1
hwloc 2.9.1-1
hyphen 2.8.8-5
hyprland-git 0.32.3.r0.9afdd61a-1
hyprshot 1.2.3-1
i2c-tools 4.3-4
iana-etc 20231018-1
icoutils 0.32.3-3
icu 73.2-2
iio-sensor-proxy 3.5-2
ijs 0.35-5
imagemagick 7.1.1.21-1
imath 3.1.9-2
imlib2 1.12.1-1
iniparser 4.1-4
inotify-tools 4.23.9.0-1
intel-compute-runtime 23.30.26918.9-1
intel-gmmlib 22.3.12-1
intel-gpu-tools 1.27-2
intel-graphics-compiler 1:1.0.14828.8-1
intel-media-driver 23.3.5-1
intel-ucode 20230808-1
intltool 0.51.0-6
iproute2 6.6.0-2
iptables 1:1.8.9-1
iputils 20221126-2
ipython 8.17.2-1
iso-codes 4.15.0-1
itstool 1:2.0.7-1
iw 5.19-2
iwd 2.8-1
iwgtk 0.9-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 21.u35-8
jemalloc 1:5.3.0-3
jq 1.7-1
js102 102.15.0-1
js115 115.4.0-2
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jupyter-nbclient 0.9.0-1
jupyter-nbconvert 7.11.0-1
jupyter-nbformat 5.9.2-1
jupyter-notebook 7.0.6-1
jupyter-notebook-shim 0.2.3-2
jupyter-server 2.10.0-1
jupyterlab 4.0.8-1
jupyterlab-pygments 0.2.2-1
kactivities5 5.112.0-1
karchive5 5.112.0-1
kauth5 5.112.0-1
kbd 2.6.3-1
kbookmarks5 5.112.0-1
kcodecs5 5.112.0-1
kcompletion5 5.112.0-1
kconfig5 5.112.0-1
kconfigwidgets5 5.112.0-1
kcoreaddons5 5.112.0-1
kcrash5 5.112.0-1
kdbusaddons5 5.112.0-1
kded5 5.112.0-1
kdegraphics-mobipocket 23.08.3-1
kdegraphics-thumbnailers 23.08.3-1
kdnssd5 5.112.0-1
kdsoap-qt5 2.1.1-2
kdsoap-qt6 2.1.1-2
kdsoap-ws-discovery-client 0.3.0-2
keyutils 1.6.3-2
kfilemetadata5 5.112.0-1
kglobalaccel5 5.112.0-1
kguiaddons5 5.112.0-1
ki18n5 5.112.0-1
kiconthemes5 5.112.0-1
kidletime5 5.112.0-1
kio-extras 23.08.3-1
kio5 5.112.0-1
kitemviews5 5.112.0-1
kitty 0.31.0-1
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kjobwidgets5 5.112.0-1
kmod 31-1
knewstuff5 5.112.0-1
knotifications5 5.112.0-1
kpackage5 5.112.0-1
kparts5 5.112.0-1
krb5 1.20.1-2
kservice5 5.112.0-1
ktextwidgets5 5.112.0-1
kuserfeedback5 1.3.0-4
kwallet5 5.112.0-1
kwidgetsaddons5 5.112.0-1
kwindowsystem5 5.112.0-1
kxmlgui5 5.112.0-1
l-smash 2.14.5-3
ladspa 1.17-4
lame 3.100-4
lapack 3.11.0-3
lcms2 2.15-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
level-zero-loader 1.11.0-1
lib32-acl 2.3.1-2
